,departure,arrival,continental
650,CM,GM,1
651,CM,GH,1
652,CM,KE,1
653,CM,LS,1
654,CM,LR,1
655,CM,MG,1
656,CM,MW,1
657,CM,ML,1
658,CM,MR,1
659,CM,MU,1
660,CM,MZ,1
661,CM,,1
662,CM,RW,1
663,CM,ST,1
664,CM,SN,1
665,CM,SC,1
666,CM,SL,1
667,CM,SO,1
668,CM,ZA,1
669,CM,SS,1
670,CM,SD,1
671,CM,TG,1
672,CM,UG,1
673,CM,TZ,1
674,CM,ZM,1
675,CM,ZW,1
676,CA,CR,1
677,CA,CU,1
678,CA,DM,1
679,CA,SV,1
680,CA,GD,1
681,CA,GT,1
682,CA,HT,1
683,CA,HN,1
684,CA,JM,1
685,CA,MX,1
686,CA,NI,1
687,CA,PA,1
688,TT,CA,1
689,CA,US,1
690,CF,TD,1
691,CF,KM,1
692,CF,CG,1
693,CI,CF,1
694,CF,DJ,1
695,CF,GQ,1
696,CF,ER,1
697,CF,ET,1
698,CF,GA,1
699,CF,GM,1
700,CF,GH,1
701,CF,KE,1
702,CF,LS,1
703,CF,LR,1
704,CF,MG,1
705,CF,MW,1
706,CF,ML,1
707,CF,MR,1
708,CF,MU,1
709,CF,MZ,1
710,CF,,1
711,CF,RW,1
712,CF,ST,1
713,CF,SN,1
714,CF,SC,1
715,CF,SL,1
716,CF,SO,1
717,CF,ZA,1
718,CF,SS,1
719,CF,SD,1
720,CF,TG,1
721,CF,UG,1
722,CF,TZ,1
723,CF,ZM,1
724,CF,ZW,1
725,TD,KM,1
726,TD,CG,1
727,CI,TD,1
728,TD,DJ,1
729,TD,GQ,1
730,TD,ER,1
731,TD,ET,1
732,TD,GA,1
733,TD,GM,1
734,TD,GH,1
735,TD,KE,1
736,TD,LS,1
737,TD,LR,1
738,TD,MG,1
739,TD,MW,1
740,TD,ML,1
741,TD,MR,1
742,TD,MU,1
743,TD,MZ,1
744,TD,,1
745,TD,RW,1
746,TD,ST,1
747,TD,SN,1
748,TD,SC,1
749,TD,SL,1
750,TD,SO,1
751,TD,ZA,1
752,TD,SS,1
753,TD,SD,1
754,TD,TG,1
755,TD,UG,1
756,TD,TZ,1
757,TD,ZM,1
758,TD,ZW,1
759,CL,CO,1
760,CL,EC,1
761,CL,GY,1
762,CL,PY,1
763,CL,PE,1
764,CL,SR,1
765,CL,UY,1
766,CL,VE,1
767,CN,IN,1
768,CN,ID,1
769,CN,IR,1
770,CN,IQ,1
771,CN,IL,1
772,CN,JP,1
773,CN,JO,1
774,CN,KZ,1
775,CN,KW,1
776,CN,KG,1
777,LA,CN,1
778,CN,LB,1
779,CN,MY,1
780,CN,MV,1
781,CN,MN,1
782,CN,MM,1
783,CN,NP,1
784,CN,PK,1
785,CN,PH,1
786,CN,QA,1
787,KR,CN,1
788,CN,SA,1
789,CN,SG,1
790,CN,LK,1
791,CN,TJ,1
792,CN,TH,1
793,CN,TL,1
794,CN,TM,1
795,AE,CN,1
796,CN,UZ,1
797,CN,VN,1
798,CO,EC,1
799,CO,GY,1
800,CO,PY,1
801,CO,PE,1
802,CO,SR,1
803,CO,UY,1
804,CO,VE,1
805,KM,CG,1
806,CI,KM,1
807,KM,DJ,1
808,KM,GQ,1
809,KM,ER,1
810,KM,ET,1
811,KM,GA,1
812,KM,GM,1
813,KM,GH,1
814,KM,KE,1
815,KM,LS,1
816,KM,LR,1
817,KM,MG,1
818,KM,MW,1
819,KM,ML,1
820,KM,MR,1
821,KM,MU,1
822,KM,MZ,1
823,KM,,1
824,KM,RW,1
825,KM,ST,1
826,KM,SN,1
827,KM,SC,1
828,KM,SL,1
829,KM,SO,1
830,KM,ZA,1
831,KM,SS,1
832,KM,SD,1
833,KM,TG,1
834,KM,UG,1
835,KM,TZ,1
836,KM,ZM,1
837,KM,ZW,1
838,CI,CG,1
839,CG,DJ,1
840,CG,GQ,1
841,CG,ER,1
842,CG,ET,1
843,CG,GA,1
844,CG,GM,1
845,CG,GH,1
846,CG,KE,1
847,CG,LS,1
848,CG,LR,1
849,CG,MG,1
850,CG,MW,1
851,CG,ML,1
852,CG,MR,1
853,CG,MU,1
854,CG,MZ,1
855,CG,,1
856,CG,RW,1
857,CG,ST,1
858,CG,SN,1
859,CG,SC,1
860,CG,SL,1
861,CG,SO,1
862,CG,ZA,1
863,CG,SS,1
864,CG,SD,1
865,CG,TG,1
866,CG,UG,1
867,CG,TZ,1
868,CG,ZM,1
869,CG,ZW,1
870,CR,CU,1
871,CR,DM,1
872,CR,SV,1
873,CR,GD,1
874,CR,GT,1
875,CR,HT,1
876,CR,HN,1
877,CR,JM,1
878,CR,MX,1
879,CR,NI,1
880,CR,PA,1
881,TT,CR,1
882,CR,US,1
883,CI,DJ,1
884,CI,GQ,1
885,CI,ER,1
886,CI,ET,1
887,CI,GA,1
888,CI,GM,1
889,CI,GH,1
890,CI,KE,1
891,CI,LS,1
892,CI,LR,1
893,CI,MG,1
894,CI,MW,1
895,CI,ML,1
896,CI,MR,1
897,CI,MU,1
898,CI,MZ,1
899,CI,,1
900,CI,RW,1
901,CI,ST,1
902,CI,SN,1
903,CI,SC,1
904,CI,SL,1
905,CI,SO,1
906,CI,ZA,1
907,CI,SS,1
908,CI,SD,1
909,CI,TG,1
910,CI,UG,1
911,CI,TZ,1
912,CI,ZM,1
913,CI,ZW,1
914,HR,CY,1
915,CZ,HR,1
916,HR,DK,1
917,HR,EG,1
918,HR,EE,1
919,HR,FI,1
920,HR,FR,1
921,HR,GE,1
922,HR,DE,1
923,HR,GR,1
924,HR,HU,1
925,HR,IS,1
926,HR,IT,1
927,HR,LV,1
928,HR,LY,1
929,HR,LI,1
930,HR,LT,1
931,HR,LU,1
932,HR,MT,1
933,HR,MC,1
934,HR,MA,1
935,HR,NL,1
936,HR,NO,1
937,HR,PL,1
938,HR,PT,1
939,HR,MD,1
940,HR,RO,1
941,HR,RU,1
942,HR,SM,1
943,HR,SK,1
944,HR,SI,1
945,HR,ES,1
946,HR,SE,1
947,HR,CH,1
948,HR,TN,1
949,HR,TR,1
950,HR,UA,1
951,HR,GB,1
952,CU,DM,1
953,CU,SV,1
954,CU,GD,1
955,CU,GT,1
956,CU,HT,1
957,CU,HN,1
958,CU,JM,1
959,CU,MX,1
960,CU,NI,1
961,CU,PA,1
962,TT,CU,1
963,CU,US,1
964,CZ,CY,1
965,CY,DK,1
966,CY,EG,1
967,CY,EE,1
968,CY,FI,1
969,CY,FR,1
970,CY,GE,1
971,CY,DE,1
972,CY,GR,1
973,CY,HU,1
974,CY,IS,1
975,CY,IT,1
976,CY,LV,1
977,CY,LY,1
978,CY,LI,1
979,CY,LT,1
980,CY,LU,1
981,CY,MT,1
982,CY,MC,1
983,CY,MA,1
984,CY,NL,1
985,CY,NO,1
986,CY,PL,1
987,CY,PT,1
988,CY,MD,1
989,CY,RO,1
990,CY,RU,1
991,CY,SM,1
992,CY,SK,1
993,CY,SI,1
994,CY,ES,1
995,CY,SE,1
996,CY,CH,1
997,CY,TN,1
998,CY,TR,1
999,CY,UA,1
1000,CY,GB,1
1001,CZ,DK,1
1002,CZ,EG,1
1003,CZ,EE,1
1004,CZ,FI,1
1005,CZ,FR,1
1006,CZ,GE,1
1007,CZ,DE,1
1008,CZ,GR,1
1009,CZ,HU,1
1010,CZ,IS,1
1011,CZ,IT,1
1012,CZ,LV,1
1013,CZ,LY,1
1014,CZ,LI,1
1015,CZ,LT,1
1016,CZ,LU,1
1017,CZ,MT,1
1018,CZ,MC,1
1019,CZ,MA,1
1020,CZ,NL,1
1021,CZ,NO,1
1022,CZ,PL,1
1023,CZ,PT,1
1024,CZ,MD,1
1025,CZ,RO,1
1026,CZ,RU,1
1027,CZ,SM,1
1028,CZ,SK,1
1029,CZ,SI,1
1030,CZ,ES,1
1031,CZ,SE,1
1032,CZ,CH,1
1033,CZ,TN,1
1034,CZ,TR,1
1035,CZ,UA,1
1036,CZ,GB,1
1037,DK,EG,1
1038,DK,EE,1
1039,DK,FI,1
1040,DK,FR,1
1041,DK,GE,1
1042,DK,DE,1
1043,DK,GR,1
1044,DK,HU,1
1045,DK,IS,1
1046,DK,IT,1
1047,DK,LV,1
1048,DK,LY,1
1049,DK,LI,1
1050,DK,LT,1
1051,DK,LU,1
1052,DK,MT,1
1053,DK,MC,1
1054,DK,MA,1
1055,DK,NL,1
1056,DK,NO,1
1057,DK,PL,1
1058,DK,PT,1
1059,DK,MD,1
1060,DK,RO,1
1061,DK,RU,1
1062,DK,SM,1
1063,DK,SK,1
1064,DK,SI,1
1065,DK,ES,1
1066,DK,SE,1
1067,DK,CH,1
1068,DK,TN,1
1069,DK,TR,1
1070,DK,UA,1
1071,DK,GB,1
1072,DJ,GQ,1
1073,DJ,ER,1
1074,DJ,ET,1
1075,DJ,GA,1
1076,DJ,GM,1
1077,DJ,GH,1
1078,DJ,KE,1
1079,DJ,LS,1
1080,DJ,LR,1
1081,DJ,MG,1
1082,DJ,MW,1
1083,DJ,ML,1
1084,DJ,MR,1
1085,DJ,MU,1
1086,DJ,MZ,1
1087,DJ,,1
1088,DJ,RW,1
1089,DJ,ST,1
1090,DJ,SN,1
1091,DJ,SC,1
1092,DJ,SL,1
1093,DJ,SO,1
1094,DJ,ZA,1
1095,DJ,SS,1
1096,DJ,SD,1
1097,DJ,TG,1
1098,DJ,UG,1
1099,DJ,TZ,1
1100,DJ,ZM,1
1101,DJ,ZW,1
1102,DM,SV,1
1103,DM,GD,1
1104,DM,GT,1
1105,DM,HT,1
1106,DM,HN,1
1107,DM,JM,1
1108,DM,MX,1
1109,DM,NI,1
1110,DM,PA,1
1111,TT,DM,1
1112,DM,US,1
1113,EC,GY,1
1114,EC,PY,1
1115,EC,PE,1
1116,EC,SR,1
1117,EC,UY,1
1118,EC,VE,1
1119,EG,EE,1
1120,EG,FI,1
1121,EG,FR,1
1122,EG,GE,1
1123,EG,DE,1
1124,EG,GR,1
1125,EG,HU,1
1126,EG,IS,1
1127,EG,IT,1
1128,EG,LV,1
1129,EG,LY,1
1130,EG,LI,1
1131,EG,LT,1
1132,EG,LU,1
1133,EG,MT,1
1134,EG,MC,1
1135,EG,MA,1
1136,EG,NL,1
1137,EG,NO,1
1138,EG,PL,1
1139,EG,PT,1
1140,EG,MD,1
1141,EG,RO,1
1142,EG,RU,1
1143,EG,SM,1
1144,EG,SK,1
1145,EG,SI,1
1146,EG,ES,1
1147,EG,SE,1
1148,EG,CH,1
1149,EG,TN,1
1150,EG,TR,1
1151,EG,UA,1
1152,EG,GB,1
1153,SV,GD,1
1154,SV,GT,1
1155,SV,HT,1
1156,SV,HN,1
1157,SV,JM,1
1158,SV,MX,1
1159,SV,NI,1
1160,SV,PA,1
1161,TT,SV,1
1162,SV,US,1
1163,GQ,ER,1
1164,GQ,ET,1
1165,GQ,GA,1
1166,GQ,GM,1
1167,GQ,GH,1
1168,GQ,KE,1
1169,GQ,LS,1
1170,GQ,LR,1
1171,GQ,MG,1
1172,GQ,MW,1
1173,GQ,ML,1
1174,GQ,MR,1
1175,GQ,MU,1
1176,GQ,MZ,1
1177,GQ,,1
1178,GQ,RW,1
1179,GQ,ST,1
1180,GQ,SN,1
1181,GQ,SC,1
1182,GQ,SL,1
1183,GQ,SO,1
1184,GQ,ZA,1
1185,GQ,SS,1
1186,GQ,SD,1
1187,GQ,TG,1
1188,GQ,UG,1
1189,GQ,TZ,1
1190,GQ,ZM,1
1191,GQ,ZW,1
1192,ER,ET,1
1193,ER,GA,1
1194,ER,GM,1
1195,ER,GH,1
1196,ER,KE,1
1197,ER,LS,1
1198,ER,LR,1
1199,ER,MG,1
